isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,1 year,3 year,5 year
IE000N6I8IU2,JPMorgan Nasdaq Equity Premium Income Active UCITS ETF USD (acc),JEQA,59.0,equity,USD,Ireland,False,Accumulating,0.35,90.0,JPMorgan Nasdaq Equity Premium Income Active,,-2.68%,-,-
IE000N6LBS91,UBS Core MSCI World UCITS ETF hCHF acc,WORLD,759.0,equity,CHF,Ireland,True,Accumulating,0.09,1319.0,MSCI World (CHF Hedged),,+15.77%,-,-
IE000N990RE2,Ossiam Shiller Barclays CAPE® US Sector Screened UCITS ETF 1A/A (USD),EUPF,32.0,equity,USD,Ireland,False,Accumulating,0.75,166.0,Ossiam Shiller Barclays CAPE® US Sector Screened,,-7.04%,-,-
IE000N9MLVT1,Xtrackers MSCI Europe Climate Transition UCITS ETF 1C,XECT,13.0,equity,EUR,Ireland,False,Accumulating,0.04,312.0,MSCI Europe Select Sustainability Screened CTB,,+11.74%,+39.75%,-
IE000NFR7C63,iShares MSCI China Tech UCITS ETF USD (Acc),CBUK,2102.0,equity,USD,Ireland,False,Accumulating,0.45,158.0,MSCI China Technology Sub-Industries ESG Screened Select Capped,,+3.54%,+16.14%,-
IE000NITTFF2,iShares Russell 1000 Growth UCITS ETF USD (Acc),R1GR,580.0,equity,USD,Ireland,False,Accumulating,0.18,367.0,Russell 1000 Growth UCITS 30/18 Capped,,-5.00%,-,-
IE000NM0ALX6,Amundi S&P Global Consumer Discretionary ESG UCITS ETF DR EUR (A),WELJ,255.0,equity,EUR,Ireland,False,Accumulating,0.18,105.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Consumer Discretionary,,-10.84%,+32.95%,-
IE000NVVIF88,HSBC MSCI Emerging Markets Value Screened UCITS ETF USD (Acc),H41E,61.0,equity,USD,Ireland,False,Accumulating,0.35,197.0,MSCI Emerging Markets Value Select Screens Advanced,,+32.12%,+68.52%,-
IE000O58J820,Vanguard ESG North America All Cap UCITS ETF (USD) Accumulating,V3YA,274.0,equity,USD,Ireland,False,Accumulating,0.12,1413.0,FTSE North America All Cap Choice,,-3.28%,+52.36%,-
IE000O5FBC47,Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc,ZPA5,1881.0,equity,USD,Ireland,False,Accumulating,0.07,270.0,S&P 500 Net Zero 2050 Paris-Aligned ESG+,ZPA5.DE,-4.00%,-,-
IE000O8KMPM1,WisdomTree BioRevolution UCITS ETF USD Acc,WRNA,9.0,equity,USD,Ireland,False,Accumulating,0.45,83.0,WisdomTree BioRevolution ESG Screened,,+11.98%,-5.00%,-
IE000O8S1EX4,JPMorgan Climate Change Solutions UCITS ETF USD (Acc),T3MP,69.0,equity,USD,Ireland,False,Accumulating,0.55,54.0,JP Morgan Climate Change Solutions,,+19.88%,+37.70%,-
IE000OEF25S1,Invesco MSCI World Equal Weight UCITS ETF Acc,MWEQ,921.0,equity,USD,Ireland,False,Accumulating,0.2,1321.0,MSCI World Equal Weighted,,+7.39%,-,-
IE000OHEH5Y9,Invesco Global Enhanced Equity UCITS ETF EUR PfHdg Acc,IQGE,1.0,equity,EUR,Ireland,True,Accumulating,0.29,468.0,Invesco Global Enhanced Equity (EUR Hedged),,-,-,-
IE000OJ5TQP4,HANetf Future of Defence UCITS ETF,ASWC,2683.0,equity,USD,Ireland,False,Accumulating,0.49,60.0,EQM Future of Defence,,+31.06%,-,-
IE000OKVTDF7,iShares MSCI USA Value Factor Advanced UCITS ETF USD (Acc),IUVE,105.0,equity,USD,Ireland,False,Accumulating,0.2,137.0,MSCI USA Value Advanced Select,,+11.65%,+47.80%,-
IE000ONQ3X90,Xtrackers MSCI World UCITS ETF 2C - EUR Hedged,XWEU,357.0,equity,EUR,Ireland,True,Accumulating,0.17,1454.0,MSCI World (EUR Hedged),,+12.53%,-,-
IE000OULL4R4,UBS MSCI USA NSL UCITS ETF USD acc,CSY1,2816.0,equity,USD,Ireland,False,Accumulating,0.09,541.0,MSCI USA,CSY1.DE,-1.38%,-,-
IE000OVF8Q66,iShares Emerging Markets Equity Enhanced Active UCITS ETF USD (Acc),EGEE,737.0,equity,USD,Ireland,False,Accumulating,0.3,389.0,iShares Emerging Markets Equity Enhanced Active,,+25.84%,-,-
IE000OXJ91D7,Ossiam Bloomberg World PAB UCITS ETF 1A (USD),EUP1,3.0,equity,USD,Ireland,False,Accumulating,0.2,698.0,Bloomberg PAB Developed Market,,+0.36%,-,-
IE000P1IQS65,iShares World Equity Enhanced Active UCITS ETF EUR Hedged (Acc),R730,191.0,equity,EUR,Ireland,True,Accumulating,0.3,566.0,iShares World Equity Enhanced Active (EUR Hedged),,-,-,-
IE000P3D0W60,WisdomTree Renewable Energy UCITS ETF USD Unhedged Acc,WRNW,19.0,equity,USD,Ireland,False,Accumulating,0.45,81.0,WisdomTree Renewable Energy,,+72.75%,-,-
IE000P4AYI47,Xtrackers MSCI World Climate Transition UCITS ETF,XCTW,22.0,equity,USD,Ireland,False,Accumulating,0.04,922.0,MSCI World Select Sustainability Screened CTB,,+2.00%,-,-
IE000PEAJOT0,Amundi MSCI USA ESG Selection UCITS ETF Acc,SADU,458.0,equity,USD,Ireland,False,Accumulating,0.15,286.0,MSCI USA ESG Selection P-Series 5% Issuer Capped,SADU.DE,-1.94%,+46.60%,+77.02%
IE000PJL7R74,Invesco MSCI Emerging Markets ESG Climate Paris Aligned UCITS ETF Acc,PAUM,127.0,equity,USD,Ireland,False,Accumulating,0.19,232.0,MSCI Emerging Markets ESG Climate Paris Aligned Benchmark Select,,+16.10%,+30.41%,-
IE000PPEL1I4,Investlinx Balanced Income UCITS ETF ETF A EUR Capitalisation,LNXB,44.0,equity,EUR,Ireland,False,Accumulating,0.85,53.0,Investlinx Balanced Income,,-7.22%,-,-
IE000PSF3A70,Xtrackers MSCI Global SDGs UCITS ETF 1C,XDGI,6.0,equity,USD,Ireland,False,Accumulating,0.35,222.0,MSCI ACWI IMI SDG Impact Select,,+2.07%,-2.31%,-
IE000PWGE381,UBS Nasdaq-100 ESG Enhanced UCITS ETF USD acc,BCFM,2.0,equity,USD,Ireland,False,Accumulating,0.15,89.0,Nasdaq 100® Sustainable ESG Select,,-,-,-
IE000PY7F8J9,Rize USA Environmental Impact UCITS ETF USD Acc,RIZJ,8.0,equity,USD,Ireland,False,Accumulating,0.45,83.0,Foxberry SMS USA Environmental Impact,,+21.17%,-,-
IE000PYEKKW0,iShares MSCI Europe Quality Dividend Advanced UCITS ETF EUR (Acc),CEML,3.0,equity,EUR,Ireland,False,Accumulating,0.28,82.0,MSCI Europe High Dividend Yield Advanced Select,,-,-,-
IE000Q0IU5T1,Invesco S&P World Information Technology ESG UCITS ETF Acc,WDTE,25.0,equity,USD,Ireland,False,Accumulating,0.18,64.0,S&P Developed Ex-Korea LargeMidCap ESG Enhanced Information Technology,,-1.82%,-,-
IE000Q4EBR54,SPDR S&P 400 U.S. Mid Cap Leaders UCITS ETF USD Unhedged (Acc),400X,4.0,equity,USD,Ireland,False,Accumulating,0.3,180.0,S&P MidCap 400 Scored & Screened Leaders,,-,-,-
IE000Q6C8036,BNP Paribas Easy S&P 500 Scored and Screened UCITS ETF EUR Hedged Acc,ESAA,50.0,equity,EUR,Ireland,True,Accumulating,0.13,314.0,S&P 500 Scored & Screened (EUR Hedged),,+12.82%,-,-
IE000Q9W2IR3,iShares AI Adopters & Applications UCITS ETF USD (Acc),AIAA,291.0,equity,USD,Ireland,False,Accumulating,0.35,90.0,STOXX Global AI Adopters & Applications,,-7.98%,-,-
IE000QDFFK00,AXA IM NASDAQ 100 UCITS ETF USD Acc,ANAV,1592.0,equity,USD,Ireland,False,Accumulating,0.14,101.0,Nasdaq 100®,,-0.93%,+81.42%,-
IE000QGWZZO0,JPMorgan Japan Research Enhanced Index Equity (ESG) UCITS ETF EUR Hedged (acc),JJEH,26.0,equity,EUR,Ireland,True,Accumulating,0.25,123.0,JP Morgan Japan Research Enhanced Index Equity (ESG) (EUR Hedged),,+41.53%,+118.81%,-
IE000QLV3SY5,Franklin MSCI Emerging Markets Paris Aligned Climate UCITS ETF ,FVEM,7.0,equity,USD,Ireland,False,Accumulating,0.18,329.0,MSCI Emerging Markets Climate Paris Aligned,,+22.76%,-,-
IE000QMIHY81,HSBC MSCI World UCITS ETF EUR Hedged (Acc),H41H,653.0,equity,EUR,Ireland,True,Accumulating,0.16,1285.0,MSCI World (EUR Hedged),,+12.80%,+59.46%,-
IE000QUOSE01,Vanguard ESG Developed Europe All Cap UCITS ETF (EUR) Accumulating,V3DA,134.0,equity,EUR,Ireland,False,Accumulating,0.12,988.0,FTSE Developed Europe All Cap Choice,,+11.08%,+41.86%,-
IE000QWCYQT0,Amundi MSCI World Screened UCITS ETF Acc,WLSC,991.0,equity,USD,Ireland,False,Accumulating,0.2,1145.0,MSCI World Screened Select ex Thermal Coal,,-,-,-
IE000R3K9FF7,iShares MSCI World ESG Enhanced CTB UCITS ETF EUR Hedged (Acc),CEMN,188.0,equity,EUR,Ireland,True,Accumulating,0.23,1124.0,MSCI World ESG Enhanced Focus CTB (EUR Hedged),,-,-,-
IE000R4ZNTN3,iShares MSCI World ex-USA UCITS ETF USD (Acc),IXUA,1933.0,equity,USD,Ireland,False,Accumulating,0.15,776.0,MSCI World ex USA,,+16.14%,-,-
IE000R7HJVO6,iShares US Equity Enhanced Active UCITS ETF EUR Hedged (Acc),QN10,8.0,equity,EUR,Ireland,True,Accumulating,0.2,254.0,iShares US Equity Enhanced Active (EUR Hedged),,-,-,-
IE000R85HL30,Amundi MSCI USA SRI Climate Paris Aligned UCITS ETF Acc,WEBD,342.0,equity,EUR,Ireland,False,Accumulating,0.18,90.0,MSCI USA SRI Filtered PAB,,-7.58%,+18.73%,+46.76%
IE000R9FA4A0,iShares S&P 500 Scored and Screened UCITS ETF USD (Acc),ZA30,392.0,equity,USD,Ireland,False,Accumulating,0.07,314.0,S&P 500 Scored & Screened,,+1.77%,+57.38%,-
IE000RC2UNU0,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned UCITS ETF CHF Hedged (acc),JSGC,1.0,equity,CHF,Ireland,True,Accumulating,0.25,423.0,JP Morgan Global Research Enhanced Index Equity SRI Paris Aligned (CHF Hedged),,+15.20%,-,-
IE000RLUE8E9,Invesco MSCI USA ESG Climate Paris Aligned UCITS ETF Acc,PAUS,149.0,equity,USD,Ireland,False,Accumulating,0.09,79.0,MSCI USA ESG Climate Paris Aligned Benchmark Select,,-10.86%,+30.18%,-
IE000RN58M26,iShares Metaverse UCITS ETF USD (Acc),CBUV,107.0,equity,USD,Ireland,False,Accumulating,0.5,74.0,STOXX Global Metaverse,,-7.94%,+80.08%,-
IE000ROSD5J6,iShares Essential Metals Producers UCITS ETF USD (Acc),CEBT,700.0,equity,USD,Ireland,False,Accumulating,0.55,83.0,S&P Global Essential Metals Producers,,+87.04%,-,-
IE000RSCXLM4,JPMorgan Active US Equity UCITS ETF USD (acc),JAUS,45.0,equity,USD,Ireland,False,Accumulating,0.39,74.0,JPMorgan Active US Equity,,-3.71%,-,-
IE000S4A5WE2,UBS S&P 500 Climate Transition ESG UCITS ETF USD acc,BCFF,1.0,equity,USD,Ireland,False,Accumulating,0.07,309.0,S&P 500® Climate Transition Base ESG,,-2.39%,-,-
IE000S9T0WR9,UBS Factor MSCI USA Quality Screened UCITS ETF hCHF acc,UQLTS,33.0,equity,CHF,Ireland,True,Accumulating,0.28,101.0,MSCI USA Quality ESG Low Carbon Select (CHF Hedged),,+13.61%,-,-
IE000SB4G4I4,UBS Nasdaq-100 UCITS ETF USD acc,BCFP,77.0,equity,USD,Ireland,False,Accumulating,0.13,101.0,Nasdaq 100®,,-,-,-
IE000SBHVL31,AXA IM ACT Biodiversity Equity UCITS ETF USD Acc,ABIT,15.0,equity,USD,Ireland,False,Accumulating,0.7,97.0,AXA IM ACT Biodiversity Equity,,+3.15%,+30.02%,-
IE000SBU19F7,VanEck Morningstar US SMID Moat UCITS ETF A,SMTV,14.0,equity,USD,Ireland,False,Accumulating,0.49,103.0,Morningstar US Small-Mid Cap Moat Focus,,-9.05%,-,-
IE000SGVQIZ9,HSBC MSCI Pacific ex Japan UCITS ETF USD (Acc),W450,320.0,equity,USD,Ireland,False,Accumulating,0.15,94.0,MSCI Pacific ex Japan,,+9.17%,+23.50%,-
IE000SHR0UX9,Invesco FTSE All-World UCITS ETF CHF PfHdg Acc,FWCA,17.0,equity,CHF,Ireland,True,Accumulating,0.2,519.0,FTSE All-World (CHF Hedged),,+18.37%,-,-
IE000SNWS0L0,iShares MSCI ACWI Screened UCITS ETF USD (Acc),IG3A,143.0,equity,USD,Ireland,False,Accumulating,0.2,1564.0,MSCI ACWI Screened,,-,-,-
IE000SRQBBT6,Xtrackers S&P 500 Defensive Shareholder Yield UCITS ETF 1C,XUDY,5.0,equity,USD,Ireland,False,Accumulating,0.25,98.0,S&P 500 Resilient Shareholder Yield,,-,-,-
IE000STJ19F2,AXA IM NASDAQ 100 UCITS ETF EUR (H) Acc,ANAE,10.0,equity,EUR,Ireland,True,Accumulating,0.2,101.0,Nasdaq 100® (EUR Hedged),,+13.81%,-,-
IE000SU7USQ3,AXA IM MSCI World Equity PAB UCITS ETF USD Acc,AWDT,1130.0,equity,USD,Ireland,False,Accumulating,0.2,430.0,MSCI World Climate Paris Aligned,,-1.25%,-,-
IE000SVXJH05,iShares Nasdaq 100 ex-Top 30 UCITS ETF USD (Acc),J590,7.0,equity,USD,Ireland,False,Accumulating,0.3,70.0,Nasdaq-100 ex Top 30 UCITS,,-7.09%,-,-
IE000T4LTZ00,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF EUR (acc),JREW,1.0,equity,EUR,Ireland,False,Accumulating,0.25,1032.0,JP Morgan All Country Research Enhanced Index Equity Active,,+5.20%,-,-
IE000T5R61X5,Invesco MSCI USA Universal Screened UCITS ETF GBP Hedged Acc,ESPB,6.0,equity,GBP,Ireland,True,Accumulating,0.12,331.0,MSCI USA Universal Select Business Screens (GBP Hedged),,+5.33%,+68.16%,-
IE000T9EOCL3,iShares MSCI World Small Cap ESG Enhanced CTB UCITS ETF USD (Acc),CBUG,249.0,equity,USD,Ireland,False,Accumulating,0.35,2599.0,MSCI World Small Cap ESG Enhanced Focus CTB,,+8.59%,+29.91%,-
IE000TB15RC6,UBS Core MSCI World UCITS ETF hEUR acc,BCFI,384.0,equity,EUR,Ireland,True,Accumulating,0.09,1319.0,MSCI World (EUR Hedged),,+12.59%,-,-
IE000TD3TI26,JPMorgan Active US Value UCITS ETF USD (acc),JPVA,61.0,equity,USD,Ireland,False,Accumulating,0.5,153.0,JPMorgan Active US Value,,+1.15%,-,-
IE000TG1LGI4,UBS MSCI World Selection UCITS ETF USD acc,CSY5,649.0,equity,USD,Ireland,False,Accumulating,0.15,649.0,MSCI World Selection,CSY5.DE,+4.68%,-,-
IE000TI21P14,Invesco MSCI Europe ESG Climate Paris Aligned UCITS ETF Acc,PAUE,35.0,equity,EUR,Ireland,False,Accumulating,0.16,204.0,MSCI Europe ESG Climate Paris Aligned Benchmark Select,,+8.11%,+33.63%,-
IE000TL3PL69,Xtrackers MSCI World Momentum ESG UCITS ETF,XWEM,217.0,equity,USD,Ireland,False,Accumulating,0.25,154.0,MSCI World Momentum Low Carbon SRI Screened Select,,+5.47%,-,-
IE000TSML5I8,Xtrackers MSCI USA Screened UCITS ETF 2C - EUR Hedged,XRME,15.0,equity,EUR,Ireland,True,Accumulating,0.12,493.0,MSCI USA Select Screened (EUR Hedged),,+8.90%,+61.94%,-
IE000TT7HZ88,AXA IM MSCI World Equity PAB UCITS ETF EUR Hedged Acc,AWDE,441.0,equity,EUR,Ireland,True,Accumulating,0.23,430.0,MSCI World Climate Paris Aligned (EUR Hedged),,+9.68%,-,-
IE000TYGG0N6,Fidelity Global Equity Research Enhanced PAB UCITS ETF USD (Acc),FRPG,305.0,equity,USD,Ireland,False,Accumulating,0.25,350.0,Fidelity Global Equity Research Enhanced PAB,,-,-,-
IE000TZ4SIN6,Invesco Global Enhanced Equity UCITS ETF Acc,IQGA,333.0,equity,USD,Ireland,False,Accumulating,0.24,468.0,Invesco Global Enhanced Equity,,-,-,-
IE000TZT8TI0,Xtrackers Emerging Markets Net Zero Pathway Paris Aligned UCITS ETF,XEMN,13.0,equity,USD,Ireland,False,Accumulating,0.2,704.0,Solactive ISS ESG Emerging Markets Net Zero Pathway,,+32.86%,+56.91%,-
IE000U07IGB1,Invesco Emerging Markets Enhanced Equity UCITS ETF Acc,MHQA,72.0,equity,USD,Ireland,False,Accumulating,0.29,300.0,Invesco Emerging Markets Enhanced Equity,,-,-,-
IE000U1MQKJ2,iShares MSCI World Quality Factor Advanced UCITS ETF USD (Acc),IWQE,91.0,equity,USD,Ireland,False,Accumulating,0.25,152.0,MSCI World Quality Advanced Select,,+4.57%,-,-
IE000U3XZQN5,iShares MSCI Europe Climate Transition Aware UCITS ETF EUR (Acc),ECTA,6.0,equity,EUR,Ireland,False,Accumulating,0.12,285.0,MSCI Europe Transition Aware Select,,+11.64%,-,-
IE000U58J0M1,iShares Global Clean Energy Transition UCITS ETF USD (Acc),Q8Y0,573.0,equity,USD,Ireland,False,Accumulating,0.65,99.0,S&P Global Clean Energy Transition,,+46.21%,-12.86%,-
IE000U7L59A3,iShares MSCI USA ESG Enhanced CTB UCITS ETF EUR Hedged (Acc),CBUC,1730.0,equity,EUR,Ireland,True,Accumulating,0.1,493.0,MSCI USA ESG Enhanced Focus CTB (EUR Hedged),,+7.63%,+53.22%,-
IE000U9ODG19,iShares Global Aerospace & Defence UCITS ETF USD (Acc),5J50,1228.0,equity,USD,Ireland,False,Accumulating,0.35,78.0,S&P Developed BMI Select Aerospace & Defense 35/20 Capped,,+40.07%,-,-
IE000UATQPE2,Xtrackers MSCI World Small Cap ESG UCITS ETF 1C,XZSW,8.0,equity,USD,Ireland,False,Accumulating,0.25,1298.0,MSCI World Small Cap Low Carbon SRI Screened Select,,-,-,-
IE000UBAW7M3,Amundi Core S&P 500 UCITS ETF UCITS ETF Acc,CSP5,6.0,equity,USD,Ireland,False,Accumulating,0.05,501.0,S&P 500®,,-,-,-
IE000UDFKE13,First Trust Indxx Future Economy Metals UCITS ETF Class A Accumulation,METL,3.0,equity,USD,Ireland,False,Accumulating,0.65,51.0,Indxx Global Future Economy Metals,,+65.98%,-,-
IE000UERNJ93,HSBC PLUS Emerging Markets Equity Quant Active UCITS ETF USD Acc,H414,88.0,equity,USD,Ireland,False,Accumulating,0.3,299.0,HSBC PLUS Emerging Markets Equity Quant Active,,-,-,-
IE000UOXRAM8,Invesco Dow Jones Islamic Global Developed Markets UCITS ETF Acc,IGDA,969.0,equity,USD,Ireland,False,Accumulating,0.4,258.0,Dow Jones Islamic Market Developed Markets,,+2.65%,+53.49%,-
IE000UQND7H4,HSBC MSCI World UCITS ETF USD (Acc),H4ZY,1473.0,equity,USD,Ireland,False,Accumulating,0.15,1285.0,MSCI World,,+3.16%,+51.96%,-
IE000UU299V4,HSBC MSCI Japan Climate Paris Aligned UCITS ETF,HJAP,12.0,equity,USD,Ireland,False,Accumulating,0.18,53.0,MSCI Japan Climate Paris Aligned,,+14.53%,+32.36%,-
IE000UZCJS58,Xtrackers World Net Zero Pathway Paris Aligned UCITS ETF 1C,XNZW,132.0,equity,USD,Ireland,False,Accumulating,0.19,1053.0,Solactive ISS ESG Developed Markets Net Zero Pathway,,+1.52%,+44.02%,-
IE000UZIKD07,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned UCITS ETF EUR Hedged (acc),JGSE,17.0,equity,EUR,Ireland,True,Accumulating,0.25,423.0,JP Morgan Global Research Enhanced Index Equity SRI Paris Aligned (EUR Hedged),,+12.24%,-,-
IE000UZZ5D45,Amundi MSCI World Small Cap ESG Broad Transition UCITS ETF Acc,WMFS,168.0,equity,USD,Ireland,False,Accumulating,0.25,1806.0,MSCI World Small Cap ESG Broad CTB Select,,+8.78%,-,-
IE000UZZ5SU2,JPMorgan Active US Growth UCITS ETF EUR Hedged (acc),JPGH,9.0,equity,EUR,Ireland,True,Accumulating,0.49,102.0,JPMorgan Active US Growth (EUR Hedged),,+1.68%,-,-
IE000V0GDVU7,Xtrackers MSCI Global SDG 11 Sustainable Cities UCITS ETF 1C,XG11,6.0,equity,USD,Ireland,False,Accumulating,0.35,134.0,MSCI ACWI IMI SDG 11 Sustainable Cities and Communities Select,,+11.42%,+22.69%,-
IE000V93BNU0,Invesco MSCI World ESG Climate Paris Aligned UCITS ETF Acc,PAUD,24.0,equity,USD,Ireland,False,Accumulating,0.19,326.0,MSCI World ESG Climate Paris Aligned Benchmark Select,,-2.45%,+31.55%,-
IE000VAZZYM3,JPMorgan US Hedged Equity Laddered Overlay Active UCITS ETF USD (Acc),HEOL,7.0,equity,USD,Ireland,False,Accumulating,0.5,151.0,J.P. Morgan US Hedged Equity Laddered Overlay Active,,-,-,-
IE000VMAR5O6,Xtrackers Europe Biodiversity Focus SRI UCITS ETF 1C,XBEE,9.0,equity,EUR,Ireland,False,Accumulating,0.3,284.0,ISS STOXX® Europe 600 Biodiversity Focus SRI,,+13.72%,-,-
IE000VML2GZ3,Amundi MSCI USA ESG Leaders Extra UCITS ETF DR USD (A),MWOJ,283.0,equity,USD,Ireland,False,Accumulating,0.1,307.0,MSCI USA Select ESG Rating and Trend Leaders,,+0.73%,+54.74%,-
IE000VXC51U5,Xtrackers MSCI AC World Screened UCITS ETF 2C - EUR Hedged,XMAE,67.0,equity,EUR,Ireland,True,Accumulating,0.37,1880.0,MSCI ACWI Select Screened (EUR Hedged),,+13.51%,+58.12%,-
IE000W080FK3,HSBC MSCI EMERGING MARKETS SMALL CAP SCREENED UCITS ETF USD (Acc),H41F,41.0,equity,USD,Ireland,False,Accumulating,0.35,894.0,MSCI Emerging Markets Small Cap Universal Screens,,+25.22%,+47.17%,-
IE000W6L2AI3,Xtrackers MSCI EMU Climate Transition UCITS ETF 1C,XCEU,14.0,equity,EUR,Ireland,False,Accumulating,0.12,174.0,MSCI EMU Select Sustainability Screened CTB,,+12.29%,+43.80%,-
IE000W85O7M4,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),JUIE,8.0,equity,EUR,Ireland,False,Accumulating,0.2,240.0,JP Morgan US Research Enhanced Index Equity (ESG),,-0.59%,-,-
IE000W8HP9L8,BNP Paribas Easy MSCI World Min TE UCITS ETF EUR Acc,ASRY,400.0,equity,EUR,Ireland,False,Accumulating,0.16,1025.0,MSCI World Select Filtered Min TE,,+2.86%,-,-
IE000W95TAE6,JPMorgan Carbon Transition Global Equity (CTB) UCITS ETF EUR Hedged (acc),JPCE,7.0,equity,EUR,Ireland,True,Accumulating,0.19,359.0,Solactive JP Morgan Asset Management Carbon Transition Global Equity (EUR Hedged),,+10.19%,+53.49%,-
IE000WDG5795,iShares Lithium & Battery Producers UCITS ETF USD (Acc),QP70,30.0,equity,USD,Ireland,False,Accumulating,0.55,65.0,STOXX Global Lithium and Battery Producers,,+41.39%,-,-
IE000WQ5O293,BNP Paribas Easy MSCI ACWI SRI S-Series PAB 5% Capped UCITS ETF USD C,ESAC,24.0,equity,USD,Ireland,False,Accumulating,0.2,1674.0,MSCI ACWI SRI S-Series PAB 5% Capped,,-0.36%,-,-
IE000WX7BVB0,JPMorgan Global Equity Premium Income Active UCITS ETF USD (acc),JEGA,73.0,equity,USD,Ireland,False,Accumulating,0.35,233.0,JP Morgan Global Equity Premium Income Active,,-3.01%,-,-
IE000X7DRW38,WisdomTree Global Ex-USA Quality Dividend Growth UCITS ETF EUR Acc,DGXU,13.0,equity,EUR,Ireland,False,Accumulating,0.3,221.0,WisdomTree Global Developed Ex-US Quality Dividend Growth,,-,-,-
IE000XC6EVL9,HSBC NASDAQ Global Climate Tech UCITS ETF USD (Acc),H41V,108.0,equity,USD,Ireland,False,Accumulating,0.5,120.0,Nasdaq CTA Global Climate Technology,,+18.57%,-,-
IE000XFORJ80,HSBC MSCI AC Asia Pacific ex Japan Climate Paris Aligned UCITS ETF,HP2A,14.0,equity,USD,Ireland,False,Accumulating,0.25,309.0,MSCI AC Asia Pacific ex Japan Climate Paris Aligned,,+17.88%,+32.40%,-
IE000XFXBGR0,UBS MSCI USA Small Cap Selection UCITS ETF USD acc,CSY8,263.0,equity,USD,Ireland,False,Accumulating,0.2,685.0,MSCI USA Small Cap Selection,CSY8.DE,-0.72%,-,-
IE000XIBT2R7,Invesco Global Active Defensive ESG Equity UCITS ETF EUR PfHdg Acc,LVLE,58.0,equity,EUR,Ireland,True,Accumulating,0.3,371.0,Invesco Global Active Defensive ESG Equity (EUR Hedged),,+9.97%,+46.91%,-
IE000XL4IXU1,Amundi MSCI USA Ex Mega Cap UCITS ETF Acc,XMGA,34.0,equity,USD,Ireland,False,Accumulating,0.15,501.0,MSCI USA Ex Mega Cap Select,,-1.77%,-,-
IE000XNILW20,WisdomTree Global Sustainable Equity UCITS ETF USD Unhedged Acc,WSDG,347.0,equity,USD,Ireland,False,Accumulating,0.29,108.0,Solactive WisdomTree Global Sustainable Equity UCITS,,+5.05%,-,-
IE000XOQ9TK4,Xtrackers MSCI Next Generation Internet Innovation UCITS ETF 1C,XNGI,61.0,equity,USD,Ireland,False,Accumulating,0.3,98.0,MSCI ACWI IMI Next Generation Internet Innovation Select Screened 100,,-8.81%,+78.64%,-
IE000XZSV718,SPDR S&P 500 UCITS ETF (Acc),SPYL,11563.0,equity,USD,Ireland,False,Accumulating,0.03,503.0,S&P 500®,,-0.70%,-,-
IE000Y2ZYZ66,BNP Paribas Easy MSCI World UCITS ETF USD Acc,ESAM,48.0,equity,USD,Ireland,False,Accumulating,0.05,1319.0,MSCI World,,-,-,-
IE000Y65F5C2,AXA IM MSCI Emerging Markets ex-China Equity PAB UCITS ETF EUR Hedged Acc,AXQE,2.0,equity,EUR,Ireland,True,Accumulating,0.3,183.0,MSCI Emerging Markets ex China Climate Paris Aligned (EUR Hedged),,+45.07%,-,-
IE000Y6L6LE6,Xtrackers EMU Net Zero Pathway Paris Aligned UCITS ETF 1C,XNZE,8.0,equity,EUR,Ireland,False,Accumulating,0.15,142.0,Solactive ISS ESG Developed Markets Eurozone Net Zero Pathway,,+5.12%,+32.20%,-
IE000Y6ZXZ48,Xtrackers MSCI Global Circular Economy UCITS ETF 1C,XG12,5.0,equity,USD,Ireland,False,Accumulating,0.35,213.0,MSCI ACWI IMI SDG 12 Responsible Consumption and Production Select,,+13.78%,+4.46%,-
IE000Y77LGG9,Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc,XAMB,3112.0,equity,EUR,Ireland,False,Accumulating,0.18,300.0,MSCI World SRI Filtered PAB,XAMB.BE,+2.14%,-,-
IE000Y83YZ44,WisdomTree Global Quality Growth UCITS ETF USD Unhedged Acc,QGRG,3.0,equity,USD,Ireland,False,Accumulating,0.35,191.0,WisdomTree Global Quality Growth UCITS,,-,-,-
IE000YARBD10,BNP Paribas Easy ESG Enhanced Japan UCITS ETF EUR Acc,LM9E,98.0,equity,EUR,Ireland,False,Accumulating,0.2,107.0,BNP Paribas Easy ESG Enhanced Japan,,+23.54%,-,-
IE000YASIPS3,AXA IM MSCI Europe Equity PAB UCITS ETF EUR Acc,AIME,131.0,equity,EUR,Ireland,False,Accumulating,0.14,254.0,MSCI Europe Climate Paris Aligned,,+10.92%,-,-
IE000YDOORK7,Xtrackers MSCI Fintech Innovation UCITS ETF 1C,XFNT,11.0,equity,USD,Ireland,False,Accumulating,0.3,100.0,MSCI ACWI IMI Fintech Innovation Select Screened 100,,-20.99%,+32.32%,-
