isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,Fund size,Volatility,1 year,3 year,5 year
IE000CL68Z69,Amundi MSCI World Climate Paris Aligned UCITS ETF Acc,PABW,1380.0,equity,USD,Ireland,False,Accumulating,0.2,499.0,MSCI World Climate Paris Aligned Filtered,PABW.BE,"EUR 1,252 m",10.78%,+18.79%,-,-
IE000CM02H85,Franklin FTSE Taiwan UCITS ETF SINGLCLASS,FLXT,141.0,equity,USD,Ireland,False,Accumulating,0.19,128.0,FTSE Taiwan 30/18 Capped,,EUR 400 m,24.43%,+109.53%,+174.07%,-
IE000CN8T855,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF EUR Hedged (acc),JUHE,1074.0,equity,EUR,Ireland,True,Accumulating,0.2,240.0,JP Morgan US Research Enhanced Index Equity (ESG) (EUR Hedged),,"EUR 1,044 m",12.15%,+24.45%,+72.98%,-
IE000CO3P697,First Trust Vest U.S. Equity Max Buffer UCITS ETF - June Class A Accumulation,MJUN,3.0,equity,USD,Ireland,False,Accumulating,0.85,,First Trust Vest U.S. Equity Max Buffer,,EUR 3 m,-,-,-,-
IE000COQKPO9,Invesco Nasdaq-100 ESG UCITS ETF Acc,N1ES,2040.0,equity,USD,Ireland,False,Accumulating,0.25,91.0,Nasdaq 100® ESG,,"EUR 2,148 m",15.94%,+39.84%,+100.29%,-
IE000CQQ22C8,JPMorgan Active US Value UCITS ETF EUR Hedged (acc),JPVE,4.0,equity,EUR,Ireland,True,Accumulating,0.49,153.0,JPMorgan Active US Value (EUR Hedged),,EUR 4 m,12.11%,+20.59%,-,-
IE000CR7DJI8,iShares S&P 500 Scored and Screened UCITS ETF EUR Hedged (Acc),CBUM,317.0,equity,EUR,Ireland,True,Accumulating,0.1,314.0,S&P 500 Scored & Screened (EUR Hedged),,EUR 367 m,12.01%,+27.80%,+72.16%,-
IE000CV0WWL4,Janus Henderson Japan High Conviction Equity UCITS ETF JPY Acc.,JCPN,,equity,JPY,Ireland,False,Accumulating,0.49,,Janus Henderson Japan High Conviction Equity,,EUR 6 m,22.17%,+25.00%,-,-
IE000CVOSY02,Franklin FTSE Developed World UCITS ETF USD Capitalisation,DWLD,17.0,equity,USD,Ireland,False,Accumulating,0.09,1416.0,FTSE Developed,,EUR 19 m,9.82%,+25.99%,-,-
IE000CXVOXQ1,WisdomTree US Quality Dividend Growth UCITS ETF - EUR Hedged Acc,WDGE,41.0,equity,EUR,Ireland,True,Accumulating,0.35,300.0,WisdomTree US Quality Dividend Growth (EUR Hedged),,EUR 26 m,10.76%,+17.12%,-,-
IE000CY30YV9,First Trust US Momentum UCITS ETF Class A Accumulation,FTGM,71.0,equity,USD,Ireland,False,Accumulating,0.6,180.0,iNDEX US Momentum,,EUR 79 m,15.85%,+30.62%,-,-
IE000CZU3JH0,Franklin Core US Enhanced Equity UCITS ETF Acc,FCEU,,equity,USD,Ireland,False,Accumulating,0.2,,Franklin Core US Enhanced Equity,,EUR 5 m,-,-,-,-
IE000D0T0BO1,Franklin FTSE Japan UCITS ETF (Acc),FLXJ,9.0,equity,JPY,Ireland,False,Accumulating,0.09,485.0,FTSE Japan,,EUR 9 m,17.95%,+27.15%,-,-
IE000D1017N2,WisdomTree Global Value UCITS ETF USD (Acc),VYGL,1.0,equity,USD,Ireland,False,Accumulating,0.25,,WisdomTree Global Developed Value,,EUR 1 m,-,-,-,-
IE000D5R9C23,iShares Asia ex Japan Equity Enhanced Active UCITS ETF USD (Acc),AZEH,64.0,equity,USD,Ireland,False,Accumulating,0.3,289.0,iShares Asia ex Japan Equity Enhanced Active,,EUR 83 m,18.42%,+55.29%,-,-
IE000D8FCSD8,iShares Listed Private Equity UCITS ETF USD (Acc),CBUW,91.0,equity,USD,Ireland,False,Accumulating,0.75,94.0,S&P Listed Private Equity,,EUR 79 m,17.51%,-9.88%,+35.18%,-
IE000D8XC064,iShares World Equity Enhanced Active UCITS ETF USD (Acc),WOEE,1246.0,equity,USD,Ireland,False,Accumulating,0.3,566.0,iShares World Equity Enhanced Active,,"EUR 1,737 m",10.15%,+24.75%,-,-
IE000DNSAS54,Xtrackers MSCI Emerging Markets Climate Transition UCITS ETF 1C,XEMC,119.0,equity,USD,Ireland,False,Accumulating,0.16,685.0,MSCI Emerging Markets Select Sustainability Screened CTB,,EUR 120 m,16.80%,+47.00%,-,-
IE000DPO6LM8,L&G MSCI World Mid Cap UCITS ETF USD Acc,MIDS,4.0,equity,USD,Ireland,False,Accumulating,0.29,,MSCI World Mid Cap,,EUR 7 m,-,-,-,-
IE000DR59CI3,iShares Energy Storage & Hydrogen UCITS ETF USD (Acc),STOR,10.0,equity,USD,Ireland,False,Accumulating,0.5,59.0,STOXX Global Energy Storage and Hydrogen,,EUR 27 m,24.28%,+158.73%,-,-
IE000DSDL3Z6,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF CHF Hedged (acc),JRWC,2.0,equity,CHF,Ireland,True,Accumulating,0.25,1032.0,JP Morgan All Country Research Enhanced Index Equity Active (CHF Hedged),,EUR 3 m,11.06%,+26.53%,-,-
IE000DVHJV46,Xtrackers S&P 500 Market Leaders UCITS ETF 1C,XUML,4.0,equity,USD,Ireland,False,Accumulating,0.25,51.0,S&P 500 Market Leaders,,EUR 5 m,-,-,-,-
IE000DVLBQ03,iShares S&P 500 Equal Weight UCITS ETF EUR Hedged (Acc),EFRW,142.0,equity,EUR,Ireland,True,Accumulating,0.17,504.0,S&P 500® Equal Weight (EUR Hedged),,EUR 182 m,12.23%,+16.38%,-,-
IE000E0V65D8,Xtrackers World Biodiversity Focus SRI UCITS ETF 1C,XBI0,16.0,equity,USD,Ireland,False,Accumulating,0.3,672.0,ISS STOXX® Developed World Biodiversity Focus SRI,,EUR 17 m,10.47%,+22.27%,-,-
IE000E66LX20,AXA IM ACT Climate Equity UCITS ETF EUR Hedged Acc,ACLE,134.0,equity,EUR,Ireland,True,Accumulating,0.7,98.0,AXA IM ACT Climate Equity (EUR Hedged),,EUR 7 m,12.61%,+28.72%,+61.24%,-
IE000E6TPCH9,Invesco S&P 500 Quality UCITS ETF Acc,QSPA,4.0,equity,USD,Ireland,False,Accumulating,0.2,97.0,S&P 500 Quality,,EUR 18 m,-,-,-,-
IE000E7EI9P0,Amundi S&P Global Information Technology ESG UCITS ETF DR EUR (A),WELU,607.0,equity,EUR,Ireland,False,Accumulating,0.18,108.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Information Technology,,"EUR 1,011 m",18.87%,+44.35%,+107.98%,-
IE000E9W0ID3,iShares MSCI Global Telecommunication Services UCITS ETF USD (Acc),F4R0,6.0,equity,USD,Ireland,False,Accumulating,0.35,51.0,MSCI ACWI Telecommunication Services Screened 35/20 Capped,,EUR 13 m,13.00%,+12.11%,-,-
IE000EBFYWX3,Global X AgTech and Food Innovation UCITS ETF USD Accumulating,KROP,3.0,equity,USD,Ireland,False,Accumulating,0.5,29.0,Solactive AgTech and Food Innovation,,EUR 5 m,15.14%,+7.01%,-8.65%,-
IE000EBPC0Z7,Franklin MSCI China Paris Aligned Climate UCITS ETF ,FVCH,7.0,equity,USD,Ireland,False,Accumulating,0.22,108.0,MSCI China Climate Paris Aligned,,EUR 8 m,17.80%,+0.10%,+10.61%,-
IE000EFHIFG3,Amundi S&P Global Communication Services ESG UCITS ETF DR EUR (A),WELX,247.0,equity,EUR,Ireland,False,Accumulating,0.18,52.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Communication Services,,EUR 253 m,15.11%,+24.16%,+86.84%,-
IE000EGGFVG6,Dimensional Global Core Equity UCITS ETF USD (Acc),DEGC,,equity,USD,Ireland,False,Accumulating,0.26,,Dimensional Global Core Equity,,EUR - m,-,-,-,-
